2;3;1;45;SURF;SURF;FlannBased;SVM;87144;1;64.36;15.69;0.348723;572;267;45;67;58;135;571;15;438;29;39;50;572;30;40;430;30;42;572;46;39;53;387;47;572;106;46;34;46;340;
1;2;3;50;SURF;SURF;FlannBased;SVM;86543;1;66.18;16.26;0.336481;572;303;44;55;49;121;572;9;451;45;25;42;572;35;49;439;23;26;572;43;43;41;382;63;571;101;67;32;49;322;
1;3;2;50;SURF;SURF;FlannBased;SVM;86981;1;65.28;15.65;0.327737;571;332;28;83;45;83;572;29;439;50;22;32;572;34;30;459;30;19;572;43;29;63;378;59;572;111;59;42;46;314;
2;3;1;50;SURF;SURF;FlannBased;SVM;87144;1;64.88;15.77;0.346275;572;299;32;71;41;129;571;19;443;32;25;52;572;34;48;435;28;27;572;43;38;50;381;60;572;121;67;28;45;311;
1;2;3;55;SURF;SURF;FlannBased;SVM;86543;1;65.59;15.98;0.335082;572;304;26;59;53;130;572;20;439;42;30;41;572;30;56;430;33;23;572;48;36;45;385;58;571;91;65;31;41;343;
1;3;2;55;SURF;SURF;FlannBased;SVM;86981;1;65.34;15.96;0.32354;571;317;37;68;51;98;572;27;452;34;26;33;572;25;49;452;23;23;572;59;46;46;372;49;572;98;68;23;42;341;
2;3;1;55;SURF;SURF;FlannBased;SVM;87144;1;65.65;15.99;0.344876;572;295;42;55;41;139;571;16;445;43;25;42;572;32;50;435;33;22;572;63;24;41;378;66;572;107;62;24;59;320;
1;2;3;60;SURF;SURF;FlannBased;SVM;86543;1;67;16.11;0.309199;572;329;31;56;26;130;572;23;457;41;21;30;572;32;53;447;22;18;572;52;29;37;393;61;571;107;51;19;45;349;
1;3;2;60;SURF;SURF;FlannBased;SVM;86981;1;66.55;16.07;0.311997;571;325;34;74;48;90;572;36;452;30;24;30;572;30;34;467;27;14;572;52;40;45;383;52;572;99;65;33;35;340;
2;3;1;60;SURF;SURF;FlannBased;SVM;87144;1;66.85;16.44;0.316544;572;311;46;64;31;120;571;27;448;31;25;40;572;24;41;472;24;11;572;53;22;42;400;55;572;118;50;30;51;323;
1;2;3;65;SURF;SURF;FlannBased;SVM;86543;1;67.89;16.42;0.310948;572;326;33;55;43;115;572;16;457;37;21;41;572;29;57;447;15;24;572;48;25;44;397;58;571;98;52;29;49;343;
1;3;2;65;SURF;SURF;FlannBased;SVM;86981;1;68.69;16.46;0.306051;571;309;24;75;56;107;572;14;460;33;29;36;572;32;32;473;22;13;572;46;40;39;393;54;572;91;59;26;47;349;
2;3;1;65;SURF;SURF;FlannBased;SVM;87144;1;68.52;16.29;0.305352;572;307;36;63;37;129;571;18;466;20;31;36;572;38;30;450;32;22;572;51;23;30;423;45;572;113;47;24;48;340;
